,CWD_Status,Case_ID,Province,Sex,Species,Year
15094,Negative,7355,Alberta,Female,Mule Deer,2009
15095,Negative,7361,Alberta,Female,Mule Deer,2009
15096,Negative,7362,Alberta,Female,Mule Deer,2009
15097,Negative,7363,Alberta,Female,Mule Deer,2009
15098,Negative,7364,Alberta,Female,Mule Deer,2009
15099,Negative,7370,Alberta,Female,Mule Deer,2009
15100,Negative,7372,Alberta,Female,Mule Deer,2009
15101,Negative,7427,Alberta,Female,Mule Deer,2009
15102,Negative,7430,Alberta,Female,Mule Deer,2009
15103,Negative,7612,Alberta,Female,Mule Deer,2009
15104,Negative,7620,Alberta,Female,Mule Deer,2009
15105,Negative,7625,Alberta,Female,Mule Deer,2009
15106,Negative,7626,Alberta,Female,Mule Deer,2009
15107,Negative,7627,Alberta,Female,Mule Deer,2009
15108,Negative,7634,Alberta,Female,Mule Deer,2009
15109,Negative,7812,Alberta,Female,Mule Deer,2009
15110,Negative,7878,Alberta,Female,Mule Deer,2009
15111,Negative,7926,Alberta,Female,Mule Deer,2009
15112,Negative,7930,Alberta,Female,Mule Deer,2009
15113,Negative,7948,Alberta,Female,Mule Deer,2009
15114,Negative,7983,Alberta,Female,Mule Deer,2009
15115,Negative,8015,Alberta,Female,Mule Deer,2009
15116,Negative,8040,Alberta,Female,Mule Deer,2009
15117,Negative,8053,Alberta,Female,Mule Deer,2009
15118,Negative,8077,Alberta,Female,Mule Deer,2009
15119,Negative,8122,Alberta,Female,Mule Deer,2009
15120,Negative,8139,Alberta,Female,Mule Deer,2009
15121,Negative,8149,Alberta,Female,Mule Deer,2009
15122,Negative,8189,Alberta,Female,Mule Deer,2009
15123,Negative,12429,Alberta,Female,White-tailed Deer,2009
15124,Negative,12441,Alberta,Female,White-tailed Deer,2009
15125,Negative,12477,Alberta,Female,White-tailed Deer,2009
15126,Negative,12830,Alberta,Female,White-tailed Deer,2009
15127,Negative,12963,Alberta,Female,White-tailed Deer,2009
15128,Negative,17857,Alberta,Male,Mule Deer,2009
15129,Negative,17880,Alberta,Male,Mule Deer,2009
15130,Negative,17943,Alberta,Male,Mule Deer,2009
15131,Negative,17997,Alberta,Male,Mule Deer,2009
15132,Negative,18012,Alberta,Male,Mule Deer,2009
15133,Negative,18013,Alberta,Male,Mule Deer,2009
15134,Negative,18045,Alberta,Male,Mule Deer,2009
15135,Negative,18046,Alberta,Male,Mule Deer,2009
15136,Negative,18078,Alberta,Male,Mule Deer,2009
15137,Negative,18167,Alberta,Male,Mule Deer,2009
15138,Negative,18169,Alberta,Male,Mule Deer,2009
15139,Negative,18185,Alberta,Male,Mule Deer,2009
15140,Negative,18283,Alberta,Male,Mule Deer,2009
15141,Negative,18284,Alberta,Male,Mule Deer,2009
15142,Negative,18286,Alberta,Male,Mule Deer,2009
15143,Negative,18287,Alberta,Male,Mule Deer,2009
15144,Negative,18288,Alberta,Male,Mule Deer,2009
15145,Negative,18306,Alberta,Male,Mule Deer,2009
15146,Negative,18307,Alberta,Male,Mule Deer,2009
15147,Negative,18313,Alberta,Male,Mule Deer,2009
15148,Negative,18315,Alberta,Male,Mule Deer,2009
15149,Negative,18316,Alberta,Male,Mule Deer,2009
15150,Negative,18317,Alberta,Male,Mule Deer,2009
15151,Negative,18318,Alberta,Male,Mule Deer,2009
15152,Negative,18319,Alberta,Male,Mule Deer,2009
15153,Negative,18320,Alberta,Male,Mule Deer,2009
15154,Negative,18321,Alberta,Male,Mule Deer,2009
15155,Negative,18322,Alberta,Male,Mule Deer,2009
15156,Negative,18323,Alberta,Male,Mule Deer,2009
15157,Negative,18361,Alberta,Male,Mule Deer,2009
15158,Negative,18376,Alberta,Male,Mule Deer,2009
15159,Negative,18387,Alberta,Male,Mule Deer,2009
15160,Negative,18504,Alberta,Male,Mule Deer,2009
15161,Negative,18529,Alberta,Male,Mule Deer,2009
15162,Negative,18614,Alberta,Male,Mule Deer,2009
15163,Negative,18667,Alberta,Male,Mule Deer,2009
15164,Negative,18718,Alberta,Male,Mule Deer,2009
15165,Negative,18758,Alberta,Male,Mule Deer,2009
15166,Negative,18780,Alberta,Male,Mule Deer,2009
15167,Negative,18807,Alberta,Male,Mule Deer,2009
15168,Negative,18823,Alberta,Male,Mule Deer,2009
15169,Negative,18872,Alberta,Male,Mule Deer,2009
15170,Negative,18880,Alberta,Male,Mule Deer,2009
15171,Negative,22258,Alberta,Male,White-tailed Deer,2009
15172,Negative,22323,Alberta,Male,White-tailed Deer,2009
15173,Negative,22421,Alberta,Male,White-tailed Deer,2009
15174,Negative,22435,Alberta,Male,White-tailed Deer,2009
15175,Negative,22495,Alberta,Male,White-tailed Deer,2009
